date,symbol,name,type,estimate,reported,surprise,quote
2021-04-19T14:59:00.000Z,NFLX,Netflix Inc,TNS,0.0,0.0,0.0,EQUITY
2021-01-19T15:59:00.000Z,NFLX,Netflix Inc,TNS,0.0,0.0,0.0,EQUITY
2020-10-14T20:00:00.000Z,NFLX,Netflix Inc,TAS,0.0,0.0,0.0,EQUITY
2020-07-15T20:00:00.000Z,NFLX,Netflix Inc,TAS,1.81,0.0,0.0,EQUITY
2020-04-21T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,1.65,1.57,-4.96,EQUITY
2020-01-21T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.53,1.3,146.68,EQUITY
2019-10-16T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,1.04,1.47,40.94,EQUITY
2019-07-17T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.56,0.6,6.57,EQUITY
2019-04-16T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.57,0.76,32.64,EQUITY
2019-01-17T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.24,0.3,25.52,EQUITY
2018-10-16T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.68,0.89,30.88,EQUITY
2018-07-16T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.79,0.85,7.19,EQUITY
2018-04-16T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.64,0.64,0.63,EQUITY
2018-01-22T16:05:00.000Z,NFLX,Netflix Inc,TAS,0.41,0.41,0.0,EQUITY
2018-01-22T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.41,0.41,-0.49,EQUITY
2017-10-16T20:00:00.000Z,NFLX,Netflix Inc,AMC,0.32,0.29,-9.38,EQUITY
2017-10-16T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.32,0.29,-9.38,EQUITY
2017-07-17T20:00:00.000Z,NFLX,Netflix Inc,AMC,0.15,0.15,0.0,EQUITY
2017-07-17T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.15,0.15,-1.96,EQUITY
2017-04-17T20:00:00.000Z,NFLX,Netflix Inc,AMC,0.37,0.4,8.11,EQUITY
2017-04-17T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.37,0.4,7.24,EQUITY
2017-01-18T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.13,0.15,13.64,EQUITY
2016-10-17T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.06,0.12,114.29,EQUITY
2016-07-18T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.02,0.09,275.0,EQUITY
2016-04-18T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.03,0.06,76.47,EQUITY
2016-01-19T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.02,0.1,376.19,EQUITY
2015-10-14T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.08,0.07,-6.67,EQUITY
2015-07-15T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.04,0.06,36.36,EQUITY
2015-04-15T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.1,0.05,-45.45,EQUITY
2015-01-20T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.06,0.1,60.94,EQUITY
2014-10-15T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.13,0.14,3.79,EQUITY
2014-07-21T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.17,0.16,-0.53,EQUITY
2014-04-21T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.12,0.12,3.87,EQUITY
2014-01-22T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.09,0.11,20.6,EQUITY
2013-10-21T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.07,0.07,5.23,EQUITY
2013-07-22T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.06,0.07,22.12,EQUITY
2013-04-22T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.03,0.04,59.55,EQUITY
2013-01-23T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,-0.02,0.02,203.28,EQUITY
2012-10-23T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.01,0.02,208.47,EQUITY
2012-07-24T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.01,0.02,126.7,EQUITY
2012-04-23T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,-0.04,-0.01,70.44,EQUITY
2012-01-25T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.08,0.1,32.57,EQUITY
2011-10-24T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.13,0.17,23.15,EQUITY
2011-07-25T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.16,0.18,13.25,EQUITY
2011-04-25T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.15,0.16,3.05,EQUITY
2011-01-26T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.1,0.12,22.28,EQUITY
2010-10-20T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.1,0.1,-1.85,EQUITY
2010-07-21T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.1,0.11,13.54,EQUITY
2010-04-21T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.08,0.08,8.71,EQUITY
2010-01-27T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.06,0.08,23.99,EQUITY
2009-10-22T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.06,0.07,14.38,EQUITY
2009-07-23T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.07,0.08,6.68,EQUITY
2009-04-23T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.04,0.05,18.23,EQUITY
2009-01-26T05:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.05,0.05,11.57,EQUITY
2008-10-20T04:00:00.000Z,NFLX,"Netflix, Inc.",TNS,0.04,0.05,6.87,EQUITY
