date,symbol,name,type,estimate,reported,surprise,quote
2021-04-27T14:59:00.000Z,TSLA,Tesla Inc,TNS,0.0,0.0,0.0,EQUITY
2021-01-27T15:59:00.000Z,TSLA,Tesla Inc,TNS,0.0,0.0,0.0,EQUITY
2020-10-21T14:59:00.000Z,TSLA,Tesla Inc,TNS,0.0,0.0,0.0,EQUITY
2020-07-22T14:59:00.000Z,TSLA,Tesla Inc,TNS,-1.45,0.0,0.0,EQUITY
2020-04-29T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.25,1.14,548.82,EQUITY
2020-01-29T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,1.72,2.06,19.49,EQUITY
2019-10-23T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.42,1.86,542.86,EQUITY
2019-07-24T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.36,-1.12,-214.61,EQUITY
2019-04-24T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.69,-2.9,-322.74,EQUITY
2019-01-30T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,2.2,1.93,-12.19,EQUITY
2018-10-24T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.19,2.9,1594.85,EQUITY
2018-08-01T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-2.92,-3.06,-4.69,EQUITY
2018-05-02T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-3.58,-3.35,6.48,EQUITY
2018-02-07T21:00:00.000Z,TSLA,Tesla Inc,AMC,-3.12,-3.04,2.56,EQUITY
2018-02-07T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-3.09,-3.04,1.68,EQUITY
2017-11-01T20:00:00.000Z,TSLA,Tesla Inc,AMC,-2.29,-2.92,-27.51,EQUITY
2017-11-01T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-2.2,-2.92,-32.49,EQUITY
2017-08-02T20:00:00.000Z,TSLA,Tesla Inc,AMC,-1.82,-1.33,26.92,EQUITY
2017-08-02T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-1.82,-1.33,27.04,EQUITY
2017-05-03T20:00:00.000Z,TSLA,Tesla Inc,AMC,-0.81,-1.33,-64.2,EQUITY
2017-05-03T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.81,-1.33,-63.79,EQUITY
2017-02-22T21:00:00.000Z,TSLA,Tesla Inc,AMC,-0.43,-0.69,-60.47,EQUITY
2017-02-22T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.43,-0.69,-60.84,EQUITY
2016-10-26T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.54,0.71,232.22,EQUITY
2016-08-03T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.51,-1.61,-218.18,EQUITY
2016-05-04T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.58,-1.45,-148.29,EQUITY
2016-02-10T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,0.1,-0.87,-1006.25,EQUITY
2015-11-03T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.49,-0.58,-17.17,EQUITY
2015-08-05T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.6,-0.48,19.6,EQUITY
2015-05-06T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.5,-0.36,27.71,EQUITY
2015-02-11T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,0.31,-0.13,-142.48,EQUITY
2014-11-05T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.01,0.02,385.71,EQUITY
2014-07-31T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,0.04,0.11,175.0,EQUITY
2014-05-07T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,0.1,0.12,15.2,EQUITY
2014-02-19T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,0.21,0.33,59.48,EQUITY
2013-11-05T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,0.11,0.12,9.86,EQUITY
2013-08-07T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.17,0.2,218.34,EQUITY
2013-05-08T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,0.04,0.12,170.94,EQUITY
2013-02-20T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.53,-0.65,-23.34,EQUITY
2012-11-05T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.9,-0.92,-2.02,EQUITY
2012-07-25T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.92,-0.89,3.74,EQUITY
2012-05-09T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.69,-0.76,-10.14,EQUITY
2012-02-15T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.63,-0.69,-10.32,EQUITY
2011-11-02T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.59,-0.55,6.38,EQUITY
2011-08-03T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.51,-0.53,-4.8,EQUITY
2011-05-04T04:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.51,-0.44,14.56,EQUITY
2011-02-15T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.5,-0.47,5.62,EQUITY
2010-11-09T05:00:00.000Z,TSLA,"Tesla, Inc.",TNS,-0.43,-0.37,14.45,EQUITY
